;title;link;abstract;tags;pii;free
56;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];Differentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.;cells,reprogrammed,fibroblast cultures,adult fibroblasts,factors;S0092867406009767;0
57;Master Transcription Factors and Mediator Establish Super-Enhancers at Key Cell Identity Genes;https://api.elsevier.com/content/article/pii/[S0092867413003929];Master transcription factors Oct4, Sox2, and Nanog bind enhancer elements and recruit Mediator to activate much of the gene expression program of pluripotent embryonic stem cells (ESCs). We report here that the ESC master transcription factors form unusual enhancer domains at most genes that control the pluripotent state. These domains, which we call super-enhancers, consist of clusters of enhancers that are densely occupied by the master regulators and Mediator. Super-enhancers differ from typical enhancers in size, transcription factor density and content, ability to activate transcription, and sensitivity to perturbation. Reduced levels of Oct4 or Mediator cause preferential loss of expression of super-enhancer-associated genes relative to other genes, suggesting how changes in gene expression programs might be accomplished during development. In other more differentiated cells, super-enhancers containing cell-type-specific master transcription factors are also found at genes that define cell identity. Super-enhancers thus play key roles in the control of mammalian cell identity.;genes,cell,super enhancers,master transcription factors,mediator;S0092867413003929;1
58;Human Embryonic Stem Cells Derived by Somatic Cell Nuclear Transfer;https://api.elsevier.com/content/article/pii/[S0092867413005710];Reprogramming somatic cells into pluripotent embryonic stem cells (ESCs) by somatic cell nuclear transfer (SCNT) has been envisioned as an approach for generating patient-matched nuclear transfer (NT)-ESCs for studies of disease mechanisms and for developing specific therapies. Past attempts to produce human NT-ESCs have failed secondary to early embryonic arrest of SCNT embryos. Here, we identified premature exit from meiosis in human oocytes and suboptimal activation as key factors that are responsible for these outcomes. Optimized SCNT approaches designed to circumvent these limitations allowed derivation of human NT-ESCs. When applied to premium quality human oocytes, NT-ESC lines were derived from as few as two oocytes. NT-ESCs displayed normal diploid karyotypes and inherited their nuclear genome exclusively from parental somatic cells. Gene expression and differentiation profiles in human NT-ESCs were similar to embryo-derived ESCs, suggesting efficient reprogramming of somatic cells to a pluripotent state.PaperClip;somatic cells,scnt,derived,pluripotent embryonic stem,meiosis;S0092867413005710;1
59;Double Nicking by RNA-Guided CRISPR Cas9 for Enhanced Genome Editing Specificity;https://api.elsevier.com/content/article/pii/[S0092867413010155];Targeted genome editing technologies have enabled a broad range of research and medical applications. The Cas9 nuclease from the microbial CRISPR-Cas system is targeted to specific genomic loci by a 20 nt guide sequence, which can tolerate certain mismatches to the DNA target and thereby promote undesired off-target mutagenesis. Here, we describe an approach that combines a Cas9 nickase mutant with paired guide RNAs to introduce targeted double-strand breaks. Because individual nicks in the genome are repaired with high fidelity, simultaneous nicking via appropriately offset guide RNAs is required for double-stranded breaks and extends the number of specifically recognized bases for target cleavage. We demonstrate that using paired nicking can reduce off-target activity by 50- to 1,500-fold in cell lines and to facilitate gene knockout in mouse zygotes without sacrificing on-target cleavage efficiency. This versatile strategy enables a wide variety of genome editing applications that require high specificity.;target,nicking,cas9 nuclease,specific,cas9 nickase mutant;S0092867413010155;1
60;CRISPR-Mediated Modular RNA-Guided Regulation of Transcription in Eukaryotes;https://api.elsevier.com/content/article/pii/[S009286741300826X];The genetic interrogation and reprogramming of cells requires methods for robust and precise targeting of genes for expression or repression. The CRISPR-associated catalytically inactive dCas9 protein offers a general platform for RNA-guided DNA targeting. Here, we show that fusion of dCas9 to effector domains with distinct regulatory functions enables stable and efficient transcriptional repression or activation in human and yeast cells, with the site of delivery determined solely by a coexpressed short guide (sg)RNA. Coupling of dCas9 to a transcriptional repressor domain can robustly silence expression of multiple endogenous genes. RNA-seq analysis indicates that CRISPR interference (CRISPRi)-mediated transcriptional repression is highly specific. Our results establish that the CRISPR system can be used as a modular and flexible DNA-binding platform for the recruitment of proteins to a target DNA sequence, revealing the potential of CRISPRi as a general tool for the precise regulation of gene expression in eukaryotic cells.;rna,crispr,dcas9,dna,cells;S009286741300826X;0
61;Super-Enhancers in the Control of Cell Identity and Disease;https://api.elsevier.com/content/article/pii/[S0092867413012270];Super-enhancers are large clusters of transcriptional enhancers that drive expression of genes that define cell identity. Improved understanding of the roles that super-enhancers play in biology would be afforded by knowing the constellation of factors that constitute these domains and by identifying super-enhancers across the spectrum of human cell types. We describe here the population of transcription factors, cofactors, chromatin regulators, and transcription apparatus occupying super-enhancers in embryonic stem cells and evidence that super-enhancers are highly transcribed. We produce a catalog of super-enhancers in a broad range of human cell types and find that super-enhancers associate with genes that control and define the biology of these cells. Interestingly, disease-associated variation is especially enriched in the super-enhancers of disease-relevant cell types. Furthermore, we find that cancer cells generate super-enhancers at oncogenes and other genes important in tumor pathogenesis. Thus, super-enhancers play key roles in human cell identity in health and in disease.;cell,super enhancers,transcription,genes,disease;S0092867413012270;0
62;Double Nicking by RNA-Guided CRISPR Cas9 for Enhanced Genome Editing Specificity;https://api.elsevier.com/content/article/pii/[S0092867413010155];Targeted genome editing technologies have enabled a broad range of research and medical applications. The Cas9 nuclease from the microbial CRISPR-Cas system is targeted to specific genomic loci by a 20 nt guide sequence, which can tolerate certain mismatches to the DNA target and thereby promote undesired off-target mutagenesis. Here, we describe an approach that combines a Cas9 nickase mutant with paired guide RNAs to introduce targeted double-strand breaks. Because individual nicks in the genome are repaired with high fidelity, simultaneous nicking via appropriately offset guide RNAs is required for double-stranded breaks and extends the number of specifically recognized bases for target cleavage. We demonstrate that using paired nicking can reduce off-target activity by 50- to 1,500-fold in cell lines and to facilitate gene knockout in mouse zygotes without sacrificing on-target cleavage efficiency. This versatile strategy enables a wide variety of genome editing applications that require high specificity.;target,nicking,cas9 nuclease,specific,cas9 nickase mutant;S0092867413010155;1
63;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];Differentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.;cells,reprogrammed,fibroblast cultures,adult fibroblasts,factors;S0092867406009767;0
64;Chromosomal Contact Permits Transcription between Coregulated Genes;https://api.elsevier.com/content/article/pii/[S0092867413012257];Transcription of coregulated genes occurs in the context of long-range chromosomal contacts that form multigene complexes. Such contacts and transcription are lost in knockout studies of transcription factors and structural chromatin proteins. To ask whether chromosomal contacts are required for cotranscription in multigene complexes, we devised a strategy using TALENs to cleave and disrupt gene loops in a well-characterized multigene complex. Monitoring this disruption using RNA FISH and immunofluorescence microscopy revealed that perturbing the site of contact had a direct effect on transcription of other interacting genes. Unexpectedly, this effect on cotranscription was hierarchical, with dominant and subordinate members of the multigene complex engaged in both intra- and interchromosomal contact. This observation reveals the profound influence of these chromosomal contacts on the transcription of coregulated genes in a multigene complex.;transcription,multigene complex,chromosomal contacts,cotranscription,immunofluorescence microscopy revealed;S0092867413012257;1
65;Senescence Is a Developmental Mechanism that Contributes to Embryonic Growth and Patterning;https://api.elsevier.com/content/article/pii/[S0092867413013597];Senescence is a form of cell-cycle arrest linked to tumor suppression and aging. However, it remains controversial and has not been documented in nonpathologic states. Here we describe senescence as a normal developmental mechanism found throughout the embryo, including the apical ectodermal ridge (AER) and the neural roof plate, two signaling centers in embryonic patterning. Embryonic senescent cells are nonproliferative and share features with oncogene-induced senescence (OIS), including expression of p21, p15, and mediators of the senescence-associated secretory phenotype (SASP). Interestingly, mice deficient in p21 have defects in embryonic senescence, AER maintenance, and patterning. Surprisingly, the underlying mesenchyme was identified as a source for senescence instruction in the AER, whereas the ultimate fate of these senescent cells is apoptosis and macrophage-mediated clearance. We propose that senescence is a normal programmed mechanism that plays instructive roles in development, and that OIS is an evolutionarily adapted reactivation of a developmental process.;senescence,aer,p21,ois,developmental mechanism found;S0092867413013597;1
66;CRISPR-Mediated Modular RNA-Guided Regulation of Transcription in Eukaryotes;https://api.elsevier.com/content/article/pii/[S009286741300826X];The genetic interrogation and reprogramming of cells requires methods for robust and precise targeting of genes for expression or repression. The CRISPR-associated catalytically inactive dCas9 protein offers a general platform for RNA-guided DNA targeting. Here, we show that fusion of dCas9 to effector domains with distinct regulatory functions enables stable and efficient transcriptional repression or activation in human and yeast cells, with the site of delivery determined solely by a coexpressed short guide (sg)RNA. Coupling of dCas9 to a transcriptional repressor domain can robustly silence expression of multiple endogenous genes. RNA-seq analysis indicates that CRISPR interference (CRISPRi)-mediated transcriptional repression is highly specific. Our results establish that the CRISPR system can be used as a modular and flexible DNA-binding platform for the recruitment of proteins to a target DNA sequence, revealing the potential of CRISPRi as a general tool for the precise regulation of gene expression in eukaryotic cells.;rna,crispr,dcas9,dna,cells;S009286741300826X;0
67;Double Nicking by RNA-Guided CRISPR Cas9 for Enhanced Genome Editing Specificity;https://api.elsevier.com/content/article/pii/[S0092867413010155];Targeted genome editing technologies have enabled a broad range of research and medical applications. The Cas9 nuclease from the microbial CRISPR-Cas system is targeted to specific genomic loci by a 20 nt guide sequence, which can tolerate certain mismatches to the DNA target and thereby promote undesired off-target mutagenesis. Here, we describe an approach that combines a Cas9 nickase mutant with paired guide RNAs to introduce targeted double-strand breaks. Because individual nicks in the genome are repaired with high fidelity, simultaneous nicking via appropriately offset guide RNAs is required for double-stranded breaks and extends the number of specifically recognized bases for target cleavage. We demonstrate that using paired nicking can reduce off-target activity by 50- to 1,500-fold in cell lines and to facilitate gene knockout in mouse zygotes without sacrificing on-target cleavage efficiency. This versatile strategy enables a wide variety of genome editing applications that require high specificity.;target,nicking,cas9 nuclease,specific,cas9 nickase mutant;S0092867413010155;1
68;The Hallmarks of Aging;https://api.elsevier.com/content/article/pii/[S0092867413006454];Aging is characterized by a progressive loss of physiological integrity, leading to impaired function and increased vulnerability to death. This deterioration is the primary risk factor for major human pathologies, including cancer, diabetes, cardiovascular disorders, and neurodegenerative diseases. Aging research has experienced an unprecedented advance over recent years, particularly with the discovery that the rate of aging is controlled, at least to some extent, by genetic pathways and biochemical processes conserved in evolution. This Review enumerates nine tentative hallmarks that represent common denominators of aging in different organisms, with special emphasis on mammalian aging. These hallmarks are: genomic instability, telomere attrition, epigenetic alterations, loss of proteostasis, deregulated nutrient sensing, mitochondrial dysfunction, cellular senescence, stem cell exhaustion, and altered intercellular communication. A major challenge is to dissect the interconnectedness between the candidate hallmarks and their relative contributions to aging, with the final goal of identifying pharmaceutical targets to improve human health during aging, with minimal side effects.;aging,hallmarks,epigenetic alterations,mitochondrial dysfunction,dissect;S0092867413006454;0
69;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];Differentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.;cells,reprogrammed,fibroblast cultures,adult fibroblasts,factors;S0092867406009767;1
70;Human Embryonic Stem Cells Derived by Somatic Cell Nuclear Transfer;https://api.elsevier.com/content/article/pii/[S0092867413005710];Reprogramming somatic cells into pluripotent embryonic stem cells (ESCs) by somatic cell nuclear transfer (SCNT) has been envisioned as an approach for generating patient-matched nuclear transfer (NT)-ESCs for studies of disease mechanisms and for developing specific therapies. Past attempts to produce human NT-ESCs have failed secondary to early embryonic arrest of SCNT embryos. Here, we identified premature exit from meiosis in human oocytes and suboptimal activation as key factors that are responsible for these outcomes. Optimized SCNT approaches designed to circumvent these limitations allowed derivation of human NT-ESCs. When applied to premium quality human oocytes, NT-ESC lines were derived from as few as two oocytes. NT-ESCs displayed normal diploid karyotypes and inherited their nuclear genome exclusively from parental somatic cells. Gene expression and differentiation profiles in human NT-ESCs were similar to embryo-derived ESCs, suggesting efficient reprogramming of somatic cells to a pluripotent state.PaperClip;somatic cells,scnt,derived,pluripotent embryonic stem,meiosis;S0092867413005710;0
71;Human Embryonic Stem Cells Derived by Somatic Cell Nuclear Transfer;https://api.elsevier.com/content/article/pii/[S0092867413005710];Reprogramming somatic cells into pluripotent embryonic stem cells (ESCs) by somatic cell nuclear transfer (SCNT) has been envisioned as an approach for generating patient-matched nuclear transfer (NT)-ESCs for studies of disease mechanisms and for developing specific therapies. Past attempts to produce human NT-ESCs have failed secondary to early embryonic arrest of SCNT embryos. Here, we identified premature exit from meiosis in human oocytes and suboptimal activation as key factors that are responsible for these outcomes. Optimized SCNT approaches designed to circumvent these limitations allowed derivation of human NT-ESCs. When applied to premium quality human oocytes, NT-ESC lines were derived from as few as two oocytes. NT-ESCs displayed normal diploid karyotypes and inherited their nuclear genome exclusively from parental somatic cells. Gene expression and differentiation profiles in human NT-ESCs were similar to embryo-derived ESCs, suggesting efficient reprogramming of somatic cells to a pluripotent state.PaperClip;somatic cells,scnt,derived,pluripotent embryonic stem,meiosis;S0092867413005710;1
72;Master Transcription Factors and Mediator Establish Super-Enhancers at Key Cell Identity Genes;https://api.elsevier.com/content/article/pii/[S0092867413003929];Master transcription factors Oct4, Sox2, and Nanog bind enhancer elements and recruit Mediator to activate much of the gene expression program of pluripotent embryonic stem cells (ESCs). We report here that the ESC master transcription factors form unusual enhancer domains at most genes that control the pluripotent state. These domains, which we call super-enhancers, consist of clusters of enhancers that are densely occupied by the master regulators and Mediator. Super-enhancers differ from typical enhancers in size, transcription factor density and content, ability to activate transcription, and sensitivity to perturbation. Reduced levels of Oct4 or Mediator cause preferential loss of expression of super-enhancer-associated genes relative to other genes, suggesting how changes in gene expression programs might be accomplished during development. In other more differentiated cells, super-enhancers containing cell-type-specific master transcription factors are also found at genes that define cell identity. Super-enhancers thus play key roles in the control of mammalian cell identity.;genes,cell,super enhancers,master transcription factors,mediator;S0092867413003929;0
73;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];Differentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.;cells,reprogrammed,fibroblast cultures,adult fibroblasts,factors;S0092867406009767;1
74;Transcriptional Regulation and Its Misregulation in Disease;https://api.elsevier.com/content/article/pii/[S0092867413002031];The gene expression programs that establish and maintain specific cell states in humans are controlled by thousands of transcription factors, cofactors, and chromatin regulators. Misregulation of these gene expression programs can cause a broad range of diseases. Here, we review recent advances in our understanding of transcriptional regulation and discuss how these have provided new insights into transcriptional misregulation in disease.;transcriptional,diseases,chromatin regulators misregulation,gene expression programs,insights;S0092867413002031;0
75;Transcriptional and Epigenetic Dynamics during Specification of Human Embryonic Stem Cells;https://api.elsevier.com/content/article/pii/[S0092867413005138];Differentiation of human embryonic stem cells (hESCs) provides a unique opportunity to study the regulatory mechanisms that facilitate cellular transitions in a human context. To that end, we performed comprehensive transcriptional and epigenetic profiling of populations derived through directed differentiation of hESCs representing each of the three embryonic germ layers. Integration of whole-genome bisulfite sequencing, chromatin immunoprecipitation sequencing, and RNA sequencing reveals unique events associated with specification toward each lineage. Lineage-specific dynamic alterations in DNA methylation and H3K4me1 are evident at putative distal regulatory elements that are frequently bound by pluripotency factors in the undifferentiated hESCs. In addition, we identified germ-layer-specific H3K27me3 enrichment at sites exhibiting high DNA methylation in the undifferentiated state. A better understanding of these initial specification events will facilitate identification of deficiencies in current approaches, leading to more faithful differentiation strategies as well as providing insights into the rewiring of human regulatory programs during cellular transitions.;hescs,sequencing,human,embryonic germ layers,specific;S0092867413005138;1
76;Human Embryonic Stem Cells Derived by Somatic Cell Nuclear Transfer;https://api.elsevier.com/content/article/pii/[S0092867413005710];Reprogramming somatic cells into pluripotent embryonic stem cells (ESCs) by somatic cell nuclear transfer (SCNT) has been envisioned as an approach for generating patient-matched nuclear transfer (NT)-ESCs for studies of disease mechanisms and for developing specific therapies. Past attempts to produce human NT-ESCs have failed secondary to early embryonic arrest of SCNT embryos. Here, we identified premature exit from meiosis in human oocytes and suboptimal activation as key factors that are responsible for these outcomes. Optimized SCNT approaches designed to circumvent these limitations allowed derivation of human NT-ESCs. When applied to premium quality human oocytes, NT-ESC lines were derived from as few as two oocytes. NT-ESCs displayed normal diploid karyotypes and inherited their nuclear genome exclusively from parental somatic cells. Gene expression and differentiation profiles in human NT-ESCs were similar to embryo-derived ESCs, suggesting efficient reprogramming of somatic cells to a pluripotent state.PaperClip;somatic cells,scnt,derived,pluripotent embryonic stem,meiosis;S0092867413005710;0
77;Master Transcription Factors and Mediator Establish Super-Enhancers at Key Cell Identity Genes;https://api.elsevier.com/content/article/pii/[S0092867413003929];Master transcription factors Oct4, Sox2, and Nanog bind enhancer elements and recruit Mediator to activate much of the gene expression program of pluripotent embryonic stem cells (ESCs). We report here that the ESC master transcription factors form unusual enhancer domains at most genes that control the pluripotent state. These domains, which we call super-enhancers, consist of clusters of enhancers that are densely occupied by the master regulators and Mediator. Super-enhancers differ from typical enhancers in size, transcription factor density and content, ability to activate transcription, and sensitivity to perturbation. Reduced levels of Oct4 or Mediator cause preferential loss of expression of super-enhancer-associated genes relative to other genes, suggesting how changes in gene expression programs might be accomplished during development. In other more differentiated cells, super-enhancers containing cell-type-specific master transcription factors are also found at genes that define cell identity. Super-enhancers thus play key roles in the control of mammalian cell identity.;genes,cell,super enhancers,master transcription factors,mediator;S0092867413003929;0
78;Transcriptional and Epigenetic Dynamics during Specification of Human Embryonic Stem Cells;https://api.elsevier.com/content/article/pii/[S0092867413005138];Differentiation of human embryonic stem cells (hESCs) provides a unique opportunity to study the regulatory mechanisms that facilitate cellular transitions in a human context. To that end, we performed comprehensive transcriptional and epigenetic profiling of populations derived through directed differentiation of hESCs representing each of the three embryonic germ layers. Integration of whole-genome bisulfite sequencing, chromatin immunoprecipitation sequencing, and RNA sequencing reveals unique events associated with specification toward each lineage. Lineage-specific dynamic alterations in DNA methylation and H3K4me1 are evident at putative distal regulatory elements that are frequently bound by pluripotency factors in the undifferentiated hESCs. In addition, we identified germ-layer-specific H3K27me3 enrichment at sites exhibiting high DNA methylation in the undifferentiated state. A better understanding of these initial specification events will facilitate identification of deficiencies in current approaches, leading to more faithful differentiation strategies as well as providing insights into the rewiring of human regulatory programs during cellular transitions.;hescs,sequencing,human,embryonic germ layers,specific;S0092867413005138;1
79;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];Differentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.;cells,reprogrammed,fibroblast cultures,adult fibroblasts,factors;S0092867406009767;0
80;The mTORC1 Pathway Stimulates Glutamine Metabolism and Cell Proliferation by Repressing SIRT4;https://api.elsevier.com/content/article/pii/[S0092867413004650];Proliferating mammalian cells use glutamine as a source of nitrogen and as a key anaplerotic source to provide metabolites to the tricarboxylic acid cycle (TCA) for biosynthesis. Recently, mammalian target of rapamycin complex 1 (mTORC1) activation has been correlated with increased nutrient uptake and metabolism, but no molecular connection to glutaminolysis has been reported. Here, we show that mTORC1 promotes glutamine anaplerosis by activating glutamate dehydrogenase (GDH). This regulation requires transcriptional repression of SIRT4, the mitochondrial-localized sirtuin that inhibits GDH. Mechanistically, mTORC1 represses SIRT4 by promoting the proteasome-mediated destabilization of cAMP-responsive element binding 2 (CREB2). Thus, a relationship between mTORC1, SIRT4, and cancer is suggested by our findings. Indeed, SIRT4 expression is reduced in human cancer, and its overexpression reduces cell proliferation, transformation, and tumor development. Finally, our data indicate that targeting nutrient metabolism in energy-addicted cancers with high mTORC1 signaling may be an effective therapeutic approach.;mtorc1,sirt4,cancer,proliferating mammalian cells,targeting nutrient metabolism;S0092867413004650;1
81;Human Embryonic Stem Cells Derived by Somatic Cell Nuclear Transfer;https://api.elsevier.com/content/article/pii/[S0092867413005710];Reprogramming somatic cells into pluripotent embryonic stem cells (ESCs) by somatic cell nuclear transfer (SCNT) has been envisioned as an approach for generating patient-matched nuclear transfer (NT)-ESCs for studies of disease mechanisms and for developing specific therapies. Past attempts to produce human NT-ESCs have failed secondary to early embryonic arrest of SCNT embryos. Here, we identified premature exit from meiosis in human oocytes and suboptimal activation as key factors that are responsible for these outcomes. Optimized SCNT approaches designed to circumvent these limitations allowed derivation of human NT-ESCs. When applied to premium quality human oocytes, NT-ESC lines were derived from as few as two oocytes. NT-ESCs displayed normal diploid karyotypes and inherited their nuclear genome exclusively from parental somatic cells. Gene expression and differentiation profiles in human NT-ESCs were similar to embryo-derived ESCs, suggesting efficient reprogramming of somatic cells to a pluripotent state.PaperClip;somatic cells,scnt,derived,pluripotent embryonic stem,meiosis;S0092867413005710;1
82;Master Transcription Factors and Mediator Establish Super-Enhancers at Key Cell Identity Genes;https://api.elsevier.com/content/article/pii/[S0092867413003929];Master transcription factors Oct4, Sox2, and Nanog bind enhancer elements and recruit Mediator to activate much of the gene expression program of pluripotent embryonic stem cells (ESCs). We report here that the ESC master transcription factors form unusual enhancer domains at most genes that control the pluripotent state. These domains, which we call super-enhancers, consist of clusters of enhancers that are densely occupied by the master regulators and Mediator. Super-enhancers differ from typical enhancers in size, transcription factor density and content, ability to activate transcription, and sensitivity to perturbation. Reduced levels of Oct4 or Mediator cause preferential loss of expression of super-enhancer-associated genes relative to other genes, suggesting how changes in gene expression programs might be accomplished during development. In other more differentiated cells, super-enhancers containing cell-type-specific master transcription factors are also found at genes that define cell identity. Super-enhancers thus play key roles in the control of mammalian cell identity.;genes,cell,super enhancers,master transcription factors,mediator;S0092867413003929;1
83;Transcriptional and Epigenetic Dynamics during Specification of Human Embryonic Stem Cells;https://api.elsevier.com/content/article/pii/[S0092867413005138];Differentiation of human embryonic stem cells (hESCs) provides a unique opportunity to study the regulatory mechanisms that facilitate cellular transitions in a human context. To that end, we performed comprehensive transcriptional and epigenetic profiling of populations derived through directed differentiation of hESCs representing each of the three embryonic germ layers. Integration of whole-genome bisulfite sequencing, chromatin immunoprecipitation sequencing, and RNA sequencing reveals unique events associated with specification toward each lineage. Lineage-specific dynamic alterations in DNA methylation and H3K4me1 are evident at putative distal regulatory elements that are frequently bound by pluripotency factors in the undifferentiated hESCs. In addition, we identified germ-layer-specific H3K27me3 enrichment at sites exhibiting high DNA methylation in the undifferentiated state. A better understanding of these initial specification events will facilitate identification of deficiencies in current approaches, leading to more faithful differentiation strategies as well as providing insights into the rewiring of human regulatory programs during cellular transitions.;hescs,sequencing,human,embryonic germ layers,specific;S0092867413005138;0
84;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];Differentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.;cells,reprogrammed,fibroblast cultures,adult fibroblasts,factors;S0092867406009767;1
85;The mTORC1 Pathway Stimulates Glutamine Metabolism and Cell Proliferation by Repressing SIRT4;https://api.elsevier.com/content/article/pii/[S0092867413004650];Proliferating mammalian cells use glutamine as a source of nitrogen and as a key anaplerotic source to provide metabolites to the tricarboxylic acid cycle (TCA) for biosynthesis. Recently, mammalian target of rapamycin complex 1 (mTORC1) activation has been correlated with increased nutrient uptake and metabolism, but no molecular connection to glutaminolysis has been reported. Here, we show that mTORC1 promotes glutamine anaplerosis by activating glutamate dehydrogenase (GDH). This regulation requires transcriptional repression of SIRT4, the mitochondrial-localized sirtuin that inhibits GDH. Mechanistically, mTORC1 represses SIRT4 by promoting the proteasome-mediated destabilization of cAMP-responsive element binding 2 (CREB2). Thus, a relationship between mTORC1, SIRT4, and cancer is suggested by our findings. Indeed, SIRT4 expression is reduced in human cancer, and its overexpression reduces cell proliferation, transformation, and tumor development. Finally, our data indicate that targeting nutrient metabolism in energy-addicted cancers with high mTORC1 signaling may be an effective therapeutic approach.;mtorc1,sirt4,cancer,proliferating mammalian cells,targeting nutrient metabolism;S0092867413004650;0
