id;title;link;pii;abstract
66;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];S0092867406009767;SummaryDifferentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.
67;CRISPR-Cas9 Knockin Mice for Genome Editing and Cancer Modeling;https://api.elsevier.com/content/article/pii/[S0092867414011635];S0092867414011635;SummaryCRISPR-Cas9 is a versatile genome editing technology for studying the functions of genetic elements. To broadly enable the application of Cas9 inÂ vivo, we established a Cre-dependent Cas9 knockin mouse. We demonstrated inÂ vivo as well as exÂ vivoÂ genome editing using adeno-associated virus (AAV)-, lentivirus-, or particle-mediated delivery of guide RNA in neurons, immune cells, and endothelial cells. Using these mice, we simultaneously modeled the dynamics of KRAS, p53, and LKB1, the top three significantly mutated genes in lung adenocarcinoma. Delivery of a single AAV vector in the lung generated loss-of-function mutations in p53 and Lkb1, as wellÂ as homology-directed repair-mediated KrasG12D mutations, leading to macroscopic tumors of adenocarcinoma pathology. Together, these results suggest that Cas9 mice empower a wide range of biological and disease modeling applications.
68;One-Step Generation of Mice Carrying Mutations in Multiple Genes by CRISPR/Cas-Mediated Genome Engineering;https://api.elsevier.com/content/article/pii/[S0092867413004674];S0092867413004674;SummaryMice carrying mutations in multiple genes are traditionally generated by sequential recombination in embryonic stem cells and/or time-consuming intercrossing of mice with a single mutation. The CRISPR/Cas system has been adapted as an efficient gene-targeting technology with the potential for multiplexed genome editing. We demonstrate that CRISPR/Cas-mediated gene editing allows the simultaneous disruption of five genes (Tet1, 2, 3, Sry, Uty - 8 alleles) in mouse embryonic stem (ES) cells with high efficiency. Coinjection of Cas9 mRNA and single-guide RNAs (sgRNAs) targeting Tet1 and Tet2 into zygotes generated mice with biallelic mutations in both genes with an efficiency of 80%. Finally, we show that coinjection of Cas9 mRNA/sgRNAs with mutant oligos generated precise point mutations simultaneously in two target genes. Thus, the CRISPR/Cas system allows the one-step generation of animals carrying mutations in multiple genes, an approach that will greatly accelerate the inÂ vivo study of functionally redundant genes and of epistatic gene interactions.
69;Development and Applications of CRISPR-Cas9 for Genome Engineering;https://api.elsevier.com/content/article/pii/[S0092867414006047];S0092867414006047;Recent advances in genome engineering technologies based on the CRISPR-associated RNA-guided endonuclease Cas9 are enabling the systematic interrogation of mammalian genome function. Analogous to the search function in modern word processors, Cas9 can be guided to specific locations within complex genomes by a short RNA search string. Using this system, DNA sequences within the endogenous genome and their functional outputs are now easily edited or modulated in virtually any organism of choice. Cas9-mediated genetic perturbation is simple and scalable, empowering researchers to elucidate the functional organization of the genome at the systems level and establish causal linkages between genetic variations and biological phenotypes. In this Review, we describe the development and applications of Cas9 for a variety of research or translational applications while highlighting challenges as well as future directions. Derived from a remarkable microbial defense system, Cas9 is driving innovative applications from basic biology to biotechnology and medicine.
70;Double Nicking by RNA-Guided CRISPR Cas9 for Enhanced Genome Editing Specificity;https://api.elsevier.com/content/article/pii/[S0092867413010155];S0092867413010155;SummaryTargeted genome editing technologies have enabled a broad range of research and medical applications. The Cas9 nuclease from the microbial CRISPR-Cas system is targeted to specific genomic loci by a 20 nt guide sequence, which can tolerate certain mismatches to the DNA target and thereby promote undesired off-target mutagenesis. Here, we describe an approach that combines a Cas9 nickase mutant with paired guide RNAs to introduce targeted double-strand breaks. Because individual nicks in the genome are repaired with high fidelity, simultaneous nicking via appropriately offset guide RNAs is required for double-stranded breaks and extends the number of specifically recognized bases for target cleavage. We demonstrate that using paired nicking can reduce off-target activity by 50- to 1,500-fold in cell lines and to facilitate gene knockout in mouse zygotes without sacrificing on-target cleavage efficiency. This versatile strategy enables a wide variety of genome editing applications that require high specificity.
71;One-Step Generation of Mice Carrying Reporter and Conditional Alleles by CRISPR/Cas-Mediated Genome Engineering;https://api.elsevier.com/content/article/pii/[S0092867413010167];S0092867413010167;SummaryThe type II bacterial CRISPR/Cas system is a novel genome-engineering technology with the ease of multiplexed gene targeting. Here, we created reporter and conditional mutant mice by coinjection of zygotes with Cas9 mRNA and different guide RNAs (sgRNAs) as well as DNA vectors of different sizes. Using this one-step procedure we generated mice carrying a tag or a fluorescent reporter construct in the Nanog, the Sox2, and the Oct4 gene as well as Mecp2 conditional mutant mice. In addition, using sgRNAs targeting two separate sites in the Mecp2 gene, we produced mice harboring the predicted deletions of about 700Â bps. Finally, we analyzed potential off-targets of five sgRNAs in gene-modified mice and ESC lines and identified off-target mutations in only rare instances.
72;Dynamic Imaging of Genomic Loci in Living Human Cells by an Optimized CRISPR/Cas System;https://api.elsevier.com/content/article/pii/[S0092867413015316];S0092867413015316;SummaryThe spatiotemporal organization and dynamics of chromatin play critical roles in regulating genome function. However, visualizing specific, endogenous genomic loci remains challenging in living cells. Here, we demonstrate such an imaging technique by repurposing the bacterial CRISPR/Cas system.Â Using an EGFP-tagged endonuclease-deficient Cas9 protein and a structurally optimized small guide (sg) RNA, we show robust imaging of repetitive elements in telomeres and coding genes in living cells. Furthermore, an array of sgRNAs tiling along the target locus enables the visualization of nonrepetitive genomic sequences. Using this method, we have studied telomere dynamics during elongation or disruption, the subnuclear localization of the MUC4 loci, the cohesion of replicated MUC4 loci on sister chromatids, and their dynamic behaviors during mitosis. This CRISPR imaging tool has potential to significantly improve the capacity to study the conformation and dynamics of native chromosomes in living human cells.
73;Crystal Structure of Cas9 in Complex with Guide RNA and Target DNA;https://api.elsevier.com/content/article/pii/[S0092867414001561];S0092867414001561;SummaryThe CRISPR-associated endonuclease Cas9 can be targeted to specific genomic loci by single guide RNAs (sgRNAs). Here, we report the crystal structure of Streptococcus pyogenes Cas9 in complex with sgRNA and its target DNA at 2.5Â Ã resolution. The structure revealed a bilobed architecture composed of target recognition and nuclease lobes, accommodating the sgRNA:DNA heteroduplex in a positively charged groove at their interface. Whereas the recognition lobe is essential for binding sgRNA and DNA, the nuclease lobe contains the HNH and RuvC nuclease domains, which are properly positioned for cleavage of the complementary and noncomplementary strands of the target DNA, respectively. The nuclease lobe also contains a carboxyl-terminal domain responsible for the interaction with the protospacer adjacent motif (PAM). This high-resolution structure and accompanying functional analyses have revealed the molecular mechanism of RNA-guided DNA targeting by Cas9, thus paving the way for the rational design of new, versatile genome-editing technologies.
74;Generation of Gene-Modified Cynomolgus Monkey via Cas9/RNA-Mediated Gene Targeting in One-Cell Embryos;https://api.elsevier.com/content/article/pii/[S0092867414000798];S0092867414000798;SummaryMonkeys serve as important model species for studying human diseases and developing therapeutic strategies, yet the application of monkeys in biomedical researches has been significantly hindered by the difficulties in producing animals genetically modified at the desired target sites. Here, we first applied the CRISPR/Cas9 system, a versatile tool for editing the genes of different organisms, to target monkey genomes. By coinjection of Cas9 mRNA and sgRNAs into one-cell-stage embryos, we successfully achieve precise gene targeting in cynomolgus monkeys. We also show that this system enables simultaneous disruption of two target genes (Ppar-Î³ and Rag1) in one step, and no off-target mutagenesis was detected by comprehensive analysis. Thus, coinjection of one-cell-stage embryos with Cas9 mRNA and sgRNAs is an efficient and reliable approach for gene-modified cynomolgus monkey generation.
75;Hallmarks of Cancer: The Next Generation;https://api.elsevier.com/content/article/pii/[S0092867411001279];S0092867411001279;The hallmarks of cancer comprise six biological capabilities acquired during the multistep development of human tumors. The hallmarks constitute an organizing principle for rationalizing the complexities of neoplastic disease. They include sustaining proliferative signaling, evading growth suppressors, resisting cell death, enabling replicative immortality, inducing angiogenesis, and activating invasion and metastasis. Underlying these hallmarks are genome instability, which generates the genetic diversity that expedites their acquisition, and inflammation, which fosters multiple hallmark functions. Conceptual progress in the last decade has added two emerging hallmarks of potential generality to this listâreprogramming of energy metabolism and evading immune destruction. In addition to cancer cells, tumors exhibit another dimension of complexity: they contain a repertoire of recruited, ostensibly normal cells that contribute to the acquisition of hallmark traits by creating the âtumor microenvironment.â Recognition of the widespread applicability of these concepts will increasingly affect the development of new means to treat human cancer.
76;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];S0092867406009767;SummaryDifferentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.
77;CRISPR-Cas9 Knockin Mice for Genome Editing and Cancer Modeling;https://api.elsevier.com/content/article/pii/[S0092867414011635];S0092867414011635;SummaryCRISPR-Cas9 is a versatile genome editing technology for studying the functions of genetic elements. To broadly enable the application of Cas9 inÂ vivo, we established a Cre-dependent Cas9 knockin mouse. We demonstrated inÂ vivo as well as exÂ vivoÂ genome editing using adeno-associated virus (AAV)-, lentivirus-, or particle-mediated delivery of guide RNA in neurons, immune cells, and endothelial cells. Using these mice, we simultaneously modeled the dynamics of KRAS, p53, and LKB1, the top three significantly mutated genes in lung adenocarcinoma. Delivery of a single AAV vector in the lung generated loss-of-function mutations in p53 and Lkb1, as wellÂ as homology-directed repair-mediated KrasG12D mutations, leading to macroscopic tumors of adenocarcinoma pathology. Together, these results suggest that Cas9 mice empower a wide range of biological and disease modeling applications.
78;One-Step Generation of Mice Carrying Mutations in Multiple Genes by CRISPR/Cas-Mediated Genome Engineering;https://api.elsevier.com/content/article/pii/[S0092867413004674];S0092867413004674;SummaryMice carrying mutations in multiple genes are traditionally generated by sequential recombination in embryonic stem cells and/or time-consuming intercrossing of mice with a single mutation. The CRISPR/Cas system has been adapted as an efficient gene-targeting technology with the potential for multiplexed genome editing. We demonstrate that CRISPR/Cas-mediated gene editing allows the simultaneous disruption of five genes (Tet1, 2, 3, Sry, Uty - 8 alleles) in mouse embryonic stem (ES) cells with high efficiency. Coinjection of Cas9 mRNA and single-guide RNAs (sgRNAs) targeting Tet1 and Tet2 into zygotes generated mice with biallelic mutations in both genes with an efficiency of 80%. Finally, we show that coinjection of Cas9 mRNA/sgRNAs with mutant oligos generated precise point mutations simultaneously in two target genes. Thus, the CRISPR/Cas system allows the one-step generation of animals carrying mutations in multiple genes, an approach that will greatly accelerate the inÂ vivo study of functionally redundant genes and of epistatic gene interactions.
79;Development and Applications of CRISPR-Cas9 for Genome Engineering;https://api.elsevier.com/content/article/pii/[S0092867414006047];S0092867414006047;Recent advances in genome engineering technologies based on the CRISPR-associated RNA-guided endonuclease Cas9 are enabling the systematic interrogation of mammalian genome function. Analogous to the search function in modern word processors, Cas9 can be guided to specific locations within complex genomes by a short RNA search string. Using this system, DNA sequences within the endogenous genome and their functional outputs are now easily edited or modulated in virtually any organism of choice. Cas9-mediated genetic perturbation is simple and scalable, empowering researchers to elucidate the functional organization of the genome at the systems level and establish causal linkages between genetic variations and biological phenotypes. In this Review, we describe the development and applications of Cas9 for a variety of research or translational applications while highlighting challenges as well as future directions. Derived from a remarkable microbial defense system, Cas9 is driving innovative applications from basic biology to biotechnology and medicine.
80;Double Nicking by RNA-Guided CRISPR Cas9 for Enhanced Genome Editing Specificity;https://api.elsevier.com/content/article/pii/[S0092867413010155];S0092867413010155;SummaryTargeted genome editing technologies have enabled a broad range of research and medical applications. The Cas9 nuclease from the microbial CRISPR-Cas system is targeted to specific genomic loci by a 20 nt guide sequence, which can tolerate certain mismatches to the DNA target and thereby promote undesired off-target mutagenesis. Here, we describe an approach that combines a Cas9 nickase mutant with paired guide RNAs to introduce targeted double-strand breaks. Because individual nicks in the genome are repaired with high fidelity, simultaneous nicking via appropriately offset guide RNAs is required for double-stranded breaks and extends the number of specifically recognized bases for target cleavage. We demonstrate that using paired nicking can reduce off-target activity by 50- to 1,500-fold in cell lines and to facilitate gene knockout in mouse zygotes without sacrificing on-target cleavage efficiency. This versatile strategy enables a wide variety of genome editing applications that require high specificity.
81;One-Step Generation of Mice Carrying Reporter and Conditional Alleles by CRISPR/Cas-Mediated Genome Engineering;https://api.elsevier.com/content/article/pii/[S0092867413010167];S0092867413010167;SummaryThe type II bacterial CRISPR/Cas system is a novel genome-engineering technology with the ease of multiplexed gene targeting. Here, we created reporter and conditional mutant mice by coinjection of zygotes with Cas9 mRNA and different guide RNAs (sgRNAs) as well as DNA vectors of different sizes. Using this one-step procedure we generated mice carrying a tag or a fluorescent reporter construct in the Nanog, the Sox2, and the Oct4 gene as well as Mecp2 conditional mutant mice. In addition, using sgRNAs targeting two separate sites in the Mecp2 gene, we produced mice harboring the predicted deletions of about 700Â bps. Finally, we analyzed potential off-targets of five sgRNAs in gene-modified mice and ESC lines and identified off-target mutations in only rare instances.
82;Dynamic Imaging of Genomic Loci in Living Human Cells by an Optimized CRISPR/Cas System;https://api.elsevier.com/content/article/pii/[S0092867413015316];S0092867413015316;SummaryThe spatiotemporal organization and dynamics of chromatin play critical roles in regulating genome function. However, visualizing specific, endogenous genomic loci remains challenging in living cells. Here, we demonstrate such an imaging technique by repurposing the bacterial CRISPR/Cas system.Â Using an EGFP-tagged endonuclease-deficient Cas9 protein and a structurally optimized small guide (sg) RNA, we show robust imaging of repetitive elements in telomeres and coding genes in living cells. Furthermore, an array of sgRNAs tiling along the target locus enables the visualization of nonrepetitive genomic sequences. Using this method, we have studied telomere dynamics during elongation or disruption, the subnuclear localization of the MUC4 loci, the cohesion of replicated MUC4 loci on sister chromatids, and their dynamic behaviors during mitosis. This CRISPR imaging tool has potential to significantly improve the capacity to study the conformation and dynamics of native chromosomes in living human cells.
83;Crystal Structure of Cas9 in Complex with Guide RNA and Target DNA;https://api.elsevier.com/content/article/pii/[S0092867414001561];S0092867414001561;SummaryThe CRISPR-associated endonuclease Cas9 can be targeted to specific genomic loci by single guide RNAs (sgRNAs). Here, we report the crystal structure of Streptococcus pyogenes Cas9 in complex with sgRNA and its target DNA at 2.5Â Ã resolution. The structure revealed a bilobed architecture composed of target recognition and nuclease lobes, accommodating the sgRNA:DNA heteroduplex in a positively charged groove at their interface. Whereas the recognition lobe is essential for binding sgRNA and DNA, the nuclease lobe contains the HNH and RuvC nuclease domains, which are properly positioned for cleavage of the complementary and noncomplementary strands of the target DNA, respectively. The nuclease lobe also contains a carboxyl-terminal domain responsible for the interaction with the protospacer adjacent motif (PAM). This high-resolution structure and accompanying functional analyses have revealed the molecular mechanism of RNA-guided DNA targeting by Cas9, thus paving the way for the rational design of new, versatile genome-editing technologies.
84;CRISPR-Cas9 Knockin Mice for Genome Editing and Cancer Modeling;https://api.elsevier.com/content/article/pii/[S0092867414011635];S0092867414011635;SummaryCRISPR-Cas9 is a versatile genome editing technology for studying the functions of genetic elements. To broadly enable the application of Cas9 inÂ vivo, we established a Cre-dependent Cas9 knockin mouse. We demonstrated inÂ vivo as well as exÂ vivoÂ genome editing using adeno-associated virus (AAV)-, lentivirus-, or particle-mediated delivery of guide RNA in neurons, immune cells, and endothelial cells. Using these mice, we simultaneously modeled the dynamics of KRAS, p53, and LKB1, the top three significantly mutated genes in lung adenocarcinoma. Delivery of a single AAV vector in the lung generated loss-of-function mutations in p53 and Lkb1, as wellÂ as homology-directed repair-mediated KrasG12D mutations, leading to macroscopic tumors of adenocarcinoma pathology. Together, these results suggest that Cas9 mice empower a wide range of biological and disease modeling applications.
85;Genome-Scale CRISPR-Mediated Control of Gene Repression and Activation;https://api.elsevier.com/content/article/pii/[S0092867414011787];S0092867414011787;SummaryWhile the catalog of mammalian transcripts and their expression levels in different cell types and disease states is rapidly expanding, our understanding of transcript function lags behind. We present a robust technology enabling systematic investigation of the cellular consequences of repressing or inducing individual transcripts. We identify rules for specific targeting of transcriptional repressors (CRISPRi), typically achieving 90%â99% knockdown with minimal off-target effects, and activators (CRISPRa) to endogenous genes via endonuclease-deficient Cas9. Together they enable modulation of gene expression over a â¼1,000-fold range. Using these rules, we construct genome-scale CRISPRi and CRISPRa libraries, each of which we validate with two pooled screens. Growth-based screens identify essential genes, tumor suppressors, and regulators of differentiation. Screens for sensitivity to a cholera-diphtheria toxin provide broad insights into the mechanisms of pathogen entry, retrotranslocation and toxicity. Our results establish CRISPRi and CRISPRa as powerful tools that provide rich and complementary information for mapping complex pathways.
86;Generation of Functional Human Pancreatic @b Cells In Vitro;https://api.elsevier.com/content/article/pii/[S0092867414012288];S0092867414012288;SummaryThe generation of insulin-producing pancreatic Î² cells from stem cells inÂ vitro would provide an unprecedented cell source for drug discovery and cell transplantation therapy in diabetes. However, insulin-producing cells previously generated from human pluripotent stem cells (hPSC) lack many functional characteristics of bona fide Î² cells. Here, we report a scalable differentiation protocol that can generate hundreds of millions of glucose-responsive Î² cells from hPSC inÂ vitro. These stem-cell-derived Î² cells (SC-Î²) express markers found in mature Î² cells, flux Ca2+ in response to glucose, package insulin into secretory granules, and secrete quantities of insulin comparable to adult Î² cells in response to multiple sequential glucose challenges inÂ vitro. Furthermore, these cells secrete human insulin into the serum of mice shortly after transplantation in a glucose-regulated manner, and transplantation of these cells ameliorates hyperglycemia in diabetic mice.
87;Hallmarks of Cancer: The Next Generation;https://api.elsevier.com/content/article/pii/[S0092867411001279];S0092867411001279;The hallmarks of cancer comprise six biological capabilities acquired during the multistep development of human tumors. The hallmarks constitute an organizing principle for rationalizing the complexities of neoplastic disease. They include sustaining proliferative signaling, evading growth suppressors, resisting cell death, enabling replicative immortality, inducing angiogenesis, and activating invasion and metastasis. Underlying these hallmarks are genome instability, which generates the genetic diversity that expedites their acquisition, and inflammation, which fosters multiple hallmark functions. Conceptual progress in the last decade has added two emerging hallmarks of potential generality to this listâreprogramming of energy metabolism and evading immune destruction. In addition to cancer cells, tumors exhibit another dimension of complexity: they contain a repertoire of recruited, ostensibly normal cells that contribute to the acquisition of hallmark traits by creating the âtumor microenvironment.â Recognition of the widespread applicability of these concepts will increasingly affect the development of new means to treat human cancer.
88;A Protein-Tagging System for Signal Amplification in Gene Expression and Fluorescence Imaging;https://api.elsevier.com/content/article/pii/[S0092867414012276];S0092867414012276;SummarySignals in many biological processes can be amplified by recruiting multiple copies of regulatory proteins to a site of action. Harnessing this principle, we have developed a protein scaffold, a repeating peptide array termed SunTag, which can recruit multiple copies of an antibody-fusion protein. We show that the SunTag can recruit up to 24 copies of GFP, thereby enabling long-term imaging of single protein molecules in living cells. We also use the SunTag to create a potent synthetic transcription factor by recruiting multiple copies of a transcriptional activation domain to a nuclease-deficient CRISPR/Cas9 protein and demonstrate strong activation of endogenous gene expression and re-engineered cell behavior with this system. Thus, the SunTag provides a versatile platform for multimerizing proteins on a target protein scaffold and is likely to have many applications in imaging and controlling biological outputs.
89;Cancer Exosomes Perform Cell-Independent MicroRNA Biogenesis and Promote Tumorigenesis;https://api.elsevier.com/content/article/pii/[S1535610814003687];S1535610814003687;SummaryExosomes are secreted by all cell types and contain proteins and nucleic acids. Here, we report that breast cancer associated exosomes contain microRNAs (miRNAs) associated with the RISC-Loading Complex (RLC) and display cell-independent capacity to process precursor microRNAs (pre-miRNAs) into mature miRNAs. Pre-miRNAs, along with Dicer, AGO2, and TRBP, are present in exosomes of cancer cells. CD43 mediates the accumulation of Dicer specifically in cancer exosomes. Cancer exosomes mediate an efficient and rapid silencing of mRNAs to reprogram the target cell transcriptome. Exosomes derived from cells and sera of patients with breast cancer instigate nontumorigenic epithelial cells to form tumors in a Dicer-dependent manner. These findings offer opportunities for the development of exosomes based biomarkers and therapies.
90;Discovery of a Class of Endogenous Mammalian Lipids with Anti-Diabetic and Anti-inflammatory Effects;https://api.elsevier.com/content/article/pii/[S0092867414012239];S0092867414012239;SummaryIncreased adipose tissue lipogenesis is associated with enhanced insulin sensitivity. Mice overexpressing the Glut4 glucose transporter in adipocytes have elevated lipogenesis and increased glucose tolerance despite being obese with elevated circulating fatty acids. Lipidomic analysis of adipose tissue revealed the existence of branched fatty acid esters of hydroxy fatty acids (FAHFAs) that were elevated 16- to 18-fold in these mice. FAHFA isomers differ by the branched ester position on the hydroxy fattyÂ acid (e.g., palmitic-acid-9-hydroxy-stearic-acid, 9-PAHSA). PAHSAs are synthesized inÂ vivo and regulated by fasting and high-fat feeding. PAHSA levels correlate highly with insulin sensitivity and areÂ reduced in adipose tissue and serum ofÂ insulin-resistant humans. PAHSA administration inÂ mice lowers ambient glycemia and improves glucose tolerance while stimulating GLP-1 and insulin secretion. PAHSAs also reduce adipose tissue inflammation. In adipocytes, PAHSAs signal through GPR120 to enhance insulin-stimulated glucose uptake. Thus, FAHFAs are endogenous lipids with the potential to treat type 2 diabetes.
91;Development and Applications of CRISPR-Cas9 for Genome Engineering;https://api.elsevier.com/content/article/pii/[S0092867414006047];S0092867414006047;Recent advances in genome engineering technologies based on the CRISPR-associated RNA-guided endonuclease Cas9 are enabling the systematic interrogation of mammalian genome function. Analogous to the search function in modern word processors, Cas9 can be guided to specific locations within complex genomes by a short RNA search string. Using this system, DNA sequences within the endogenous genome and their functional outputs are now easily edited or modulated in virtually any organism of choice. Cas9-mediated genetic perturbation is simple and scalable, empowering researchers to elucidate the functional organization of the genome at the systems level and establish causal linkages between genetic variations and biological phenotypes. In this Review, we describe the development and applications of Cas9 for a variety of research or translational applications while highlighting challenges as well as future directions. Derived from a remarkable microbial defense system, Cas9 is driving innovative applications from basic biology to biotechnology and medicine.
92;A Proteome-Scale Map of the Human Interactome Network;https://api.elsevier.com/content/article/pii/[S0092867414014226];S0092867414014226;SummaryJust as reference genome sequences revolutionized human genetics, reference maps of interactome networks will be critical to fully understand genotype-phenotype relationships. Here, we describe a systematic map of â¼14,000 high-quality human binary protein-protein interactions. At equal quality, this map is â¼30% larger than what is available from small-scale studies published in the literature in the last few decades. While currently available information is highly biased and only covers a relatively small portion of the proteome, our systematic map appears strikingly more homogeneous, revealing a âbroaderâ human interactome network than currently appreciated. The map also uncovers significant interconnectivity between known and candidate cancer gene products, providing unbiased evidence for an expanded functional cancer landscape, while demonstrating how high-quality interactome models will help âconnect the dotsâ of the genomic revolution.
93;Human Genetics Shape the Gut Microbiome;https://api.elsevier.com/content/article/pii/[S0092867414012410];S0092867414012410;SummaryHost genetics and the gut microbiome can both influence metabolic phenotypes. However, whether host genetic variation shapes the gut microbiome and interacts with it to affect host phenotype is unclear. Here, we compared microbiotas across &gt,1,000 fecal samples obtained from the TwinsUK population, including 416 twin pairs. We identified many microbial taxa whose abundances were influenced by host genetics. The most heritable taxon, the family Christensenellaceae, formed a co-occurrence network with other heritable Bacteria and with methanogenicÂ Archaea. Furthermore, Christensenellaceae and its partners were enriched in individuals with low bodyÂ mass indexÂ (BMI). An obese-associated microbiome was amended with Christensenella minuta, aÂ cultured member of the Christensenellaceae, and transplanted to germ-free mice. C.Â minuta amendment reduced weight gain and altered the microbiome of recipient mice. Our findings indicate that host genetics influence the composition of the human gut microbiome and can do so in ways that impact host metabolism.
94;Whole-Body Imaging with Single-Cell Resolution by Tissue Decolorization;https://api.elsevier.com/content/article/pii/[S0092867414013610];S0092867414013610;SummaryThe development of whole-body imaging at single-cell resolution enables system-level approaches toÂ studying cellular circuits in organisms. Previous clearing methods focused on homogenizing mismatched refractive indices of individual tissues, enabling reductions in opacity but falling short ofÂ achieving transparency. Here, we show that an aminoalcohol decolorizes blood by efficiently eluting the heme chromophore from hemoglobin. Direct transcardial perfusion of an aminoalcohol-containing cocktail that we previously termed CUBIC coupled with a 10Â day to 2Â week clearing protocol decolorized and rendered nearly transparent almost all organs of adult mice as well as the entire body of infant and adult mice. This CUBIC-perfusion protocol enables rapid whole-body and whole-organ imaging at single-cell resolution by using light-sheet fluorescent microscopy. The CUBIC protocol is also applicable to 3D pathology, anatomy, and immunohistochemistry of various organs. These results suggest that whole-body imaging of colorless tissues at high resolution will contribute to organism-level systems biology.
95;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];S0092867406009767;SummaryDifferentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.
96;A 3D Map of the Human Genome at Kilobase Resolution Reveals Principles of Chromatin Looping;https://api.elsevier.com/content/article/pii/[S0092867414014974];S0092867414014974;SummaryWe use inÂ situ Hi-C to probe the 3D architecture of genomes, constructing haploid and diploid maps of nine cell types. The densest, in human lymphoblastoid cells, contains 4.9 billion contacts, achieving 1 kb resolution. We find that genomes are partitioned into contact domains (median length, 185 kb), which are associated with distinct patterns of histone marks and segregate into six subcompartments. We identify â¼10,000 loops. These loops frequently link promoters and enhancers, correlate with gene activation, and show conservation across cell types and species. Loop anchors typically occur at domain boundaries and bind CTCF. CTCF sites at loop anchors occur predominantly (&gt,90%) in a convergent orientation, with the asymmetric motifs âfacingâ one another. The inactive X chromosome splits into two massive domains and contains large loops anchored at CTCF-binding repeats.PaperFlick
97;Paper-Based Synthetic Gene Networks;https://api.elsevier.com/content/article/pii/[S0092867414012914];S0092867414012914;SummarySynthetic gene networks have wide-ranging uses in reprogramming and rewiring organisms. To date, there has not been a way to harness the vast potential of these networks beyond the constraints of a laboratory or inÂ vivo environment. Here, we present an inÂ vitro paper-based platform that provides an alternate, versatile venue for synthetic biologists to operate and a much-needed medium for the safe deployment of engineered gene circuits beyond the lab. Commercially available cell-free systems are freeze dried onto paper, enabling the inexpensive, sterile, and abiotic distribution of synthetic-biology-based technologies for the clinic, global health, industry, research, and education. For field use, we create circuits with colorimetric outputs for detection by eye and fabricate a low-cost, electronic optical interface. We demonstrate this technology with small-molecule and RNA actuation of genetic switches, rapid prototyping of complex gene circuits, and programmable inÂ vitro diagnostics, including glucose sensors and strain-specific Ebola virus sensors.
